;Ticker;Setor;QuantidadeAtivos
151;LASC11;Shoppings;3
152;LFTT11;Residencial;0
153;LGCP11;Logística;5
154;LUGG11;Residencial;4
155;LVBI11;Logística;10
156;MALL11;Shoppings;8
157;MATV11;Títulos e Val. Mob.;0
158;MAXR11;Outros;8
159;MBRF11;Outros;2
160;MCCI11;Títulos e Val. Mob.;0
161;MCHF11;Títulos e Val. Mob.;0
162;MCHY11;Títulos e Val. Mob.;0
163;MFAI11;Híbrido;0
164;MFII11;Híbrido;9
165;MGCR11;Títulos e Val. Mob.;0
166;MGFF11;Títulos e Val. Mob.;0
167;MGHT11;Hotel;0
168;MORC11;Títulos e Val. Mob.;0
169;MORE11;Títulos e Val. Mob.;0
170;MXRF11;Híbrido;0
171;NAVT11;Títulos e Val. Mob.;0
172;NCHB11;Títulos e Val. Mob.;0
173;NCRI11;Títulos e Val. Mob.;0
174;NEWL11;Híbrido;2
175;NEWU11;Lajes Corporativas;3
176;NSLU11;Hospital;1
177;NVHO11;Hospital;1
178;NVIF11B;Outros;0
179;ONEF11;Lajes Corporativas;1
180;ORPD11;Títulos e Val. Mob.;0
181;OUFF11;Títulos e Val. Mob.;0
182;OUJP11;Títulos e Val. Mob.;0
183;OULG11;Outros;2
184;OURE11;Títulos e Val. Mob.;0
185;PABY11;Híbrido;1
186;PATC11;Lajes Corporativas;6
187;PATL11;Híbrido;4
188;PLCR11;Híbrido;0
189;PLOG11;Logística;1
190;PLRI11;Títulos e Val. Mob.;0
191;PORD11;Títulos e Val. Mob.;0
192;PQAG11;Logística;1
193;PQDP11;Shoppings;1
194;PRSV11;Lajes Corporativas;2
195;PVBI11;Lajes Corporativas;4
196;QAGR11;Outros;12
197;QAMI11;Híbrido;0
198;QIRI11;Títulos e Val. Mob.;0
199;RBCO11;Lajes Corporativas;4
200;RBDS11;Residencial;0
201;RBED11;Outros;5
202;RBFF11;Títulos e Val. Mob.;0
203;RBGS11;Shoppings;1
204;RBHG11;Títulos e Val. Mob.;0
205;RBHY11;Títulos e Val. Mob.;0
206;RBIR11;Residencial;0
207;RBLG11;Logística;1
208;RBRD11;Híbrido;4
209;RBRF11;Títulos e Val. Mob.;0
210;RBRL11;Logística;6
211;RBRP11;Outros;17
212;RBRR11;Títulos e Val. Mob.;0
213;RBRS11;Híbrido;0
214;RBRY11;Títulos e Val. Mob.;0
215;RBTS11;Outros;0
216;RBVA11;Outros;72
217;RBVO11;Outros;0
218;RCRB11;Lajes Corporativas;10
219;RDPD11;Títulos e Val. Mob.;0
220;RECR11;Títulos e Val. Mob.;0
221;RECT11;Híbrido;8
222;RECX11;Outros;0
223;RELG11;Híbrido;3
224;RFOF11;Títulos e Val. Mob.;0
225;RMAI11;Lajes Corporativas;1
226;RNDP11;Títulos e Val. Mob.;0
227;RNGO11;Lajes Corporativas;3
228;RRCI11;Títulos e Val. Mob.;0
229;RSPD11;Residencial;0
230;RVBI11;Títulos e Val. Mob.;0
231;RZAG11;Títulos e Val. Mob.;0
232;RZAK11;Títulos e Val. Mob.;0
233;RZTR11;Híbrido;10
234;SADI11;Títulos e Val. Mob.;0
235;SARE11;Híbrido;3
236;SCPF11;Shoppings;1
237;SDIL11;Logística;5
238;SEQR11;Outros;0
239;SHPH11;Shoppings;1
240;SNCI11;Títulos e Val. Mob.;0
241;SNFF11;Títulos e Val. Mob.;0
242;SNLG11;Logística;3
243;SPTW11;Lajes Corporativas;1
244;SPVJ11;Outros;0
245;SRVD11;Títulos e Val. Mob.;0
246;STRX11;Híbrido;0
247;TEPP11;Lajes Corporativas;5
248;TGAR11;Outros;0
249;TORD11;Outros;0
250;TRNT11;Lajes Corporativas;1
251;TRXF11;Outros;44
252;URPR11;Outros;0
253;VCJR11;Títulos e Val. Mob.;0
254;VCRA11;Títulos e Val. Mob.;0
255;VCRR11;Residencial;0
256;VGHF11;Títulos e Val. Mob.;0
257;VGIA11;Títulos e Val. Mob.;0
258;VGIP11;Outros;0
259;VGIR11;Títulos e Val. Mob.;0
260;VIFI11;Títulos e Val. Mob.;0
261;VILG11;Logística;16
262;VINO11;Lajes Corporativas;9
263;VISC11;Shoppings;15
264;VIUR11;Títulos e Val. Mob.;6
265;VJFD11;Híbrido;0
266;VLOL11;Lajes Corporativas;1
267;VOTS11;Títulos e Val. Mob.;0
268;VRTA11;Títulos e Val. Mob.;0
269;VSHO11;Shoppings;3
270;VSLH11;Outros;0
271;VTLT11;Logística;1
272;VVPR11;Híbrido;6
273;VXXV11;Outros;0
274;WPLZ11;Shoppings;1
275;WTSP11B;Híbrido;0
276;XPCA11;Títulos e Val. Mob.;0
277;XPCI11;Outros;0
278;XPCM11;Lajes Corporativas;1
279;XPHT11;Hotel;5
280;XPIN11;Outros;5
281;XPLG11;Logística;13
282;XPML11;Shoppings;16
283;XPPR11;Outros;4
284;XPSF11;Outros;0
285;XTED11;Lajes Corporativas;1
286;YUFI11B;Residencial;0
